"K1","ko"
"ko:K01791","ko05111"
"ko:K02197",""
"ko:K00957","ko01120"
"ko:K01653","ko01230"
"ko:K01358","ko04212"
"ko:K02881","ko03010"
"ko:K00333","ko01100"
"ko:K07740",""
"ko:K01029","ko01100"
"ko:K01493","ko01232"
"ko:K13039","ko01240"
"ko:K01438","ko01230"
"ko:K00873","ko05230"
"ko:K01997","ko02024"
"ko:K02336",""
"ko:K00954","ko01240"
"ko:K03839",""
"ko:K18682","ko03018"
"ko:K15539",""
"ko:K00342","ko01100"
"ko:K01186","ko04142"
"ko:K03550","ko03440"
"ko:K03075","ko03070"
"ko:K00174","ko01210"
"ko:K02003",""
"ko:K01127","ko01100"
"ko:K03801","ko01240"
"ko:K16871","ko01120"
"ko:K01425","ko05230"
"ko:K03639","ko04122"
"ko:K00286","ko01230"
"ko:K13525","ko05134"
"ko:K06194",""
"ko:K15371","ko01120"
"ko:K00145","ko01230"
"ko:K14682","ko01230"
"ko:K00019","ko01100"
"ko:K07226","ko01110"
"ko:K01278","ko04974"
"ko:K00822","ko01100"
"ko:K15580","ko02024"
"ko:K03925",""
"ko:K06970",""
"ko:K01711","ko01250"
"ko:K01075","ko01120"
"ko:K00974",""
"ko:K03495",""
"ko:K03183","ko01240"
"ko:K20444",""
"ko:K08997",""
"ko:K07102","ko01250"
"ko:K00383","ko05415"
"ko:K00036","ko05415"
"ko:K03338","ko01120"
"ko:K02110","ko01100"
"ko:K03702","ko03420"
"ko:K02904","ko03010"
"ko:K00304","ko01100"
"ko:K03439",""
"ko:K02257","ko04714"
"ko:K01835","ko01250"
"ko:K03269","ko01100"
"ko:K01807","ko01230"
"ko:K02198",""
"ko:K01181",""
"ko:K01479","ko01100"
