"K1","ko"
"ko:K08524","ko05417"
"ko:K08901","ko01100"
"ko:K03507",""
"ko:K08967","ko01100"
"ko:K19678",""
"ko:K17985","ko05022"
"ko:K10442",""
"ko:K06100","ko04530"
"ko:K02145","ko05323"
"ko:K14293","ko05207"
"ko:K03934","ko05415"
"ko:K03596","ko05134"
"ko:K01476","ko05146"
"ko:K16803",""
"ko:K00650","ko04979"
"ko:K05747","ko05231"
"ko:K01875","ko00970"
"ko:K16740",""
"ko:K01768","ko04213"
"ko:K17275",""
"ko:K00942","ko01232"
"ko:K16455",""
"ko:K00218","ko01110"
"ko:K14567","ko03008"
"ko:K08867","ko04928"
"ko:K05516",""
"ko:K15424",""
"ko:K08287",""
"ko:K09458","ko01240"
"ko:K02960","ko05171"
"ko:K10839","ko04141"
"ko:K02900","ko05171"
"ko:K02910","ko05171"
"ko:K13303","ko04151"
"ko:K04730","ko05417"
"ko:K12877","ko03040"
"ko:K07679","ko05133"
"ko:K12442",""
"ko:K08490","ko04130"
"ko:K11254","ko05322"
"ko:K18696","ko00564"
"ko:K03936","ko05415"
"ko:K20196","ko04814"
"ko:K21434","ko04820"
"ko:K13988","ko01100"
"ko:K08100","ko01110"
"ko:K02434","ko01100"
"ko:K12767","ko04213"
"ko:K01285","ko04974"
"ko:K13117",""
"ko:K06127","ko01240"
"ko:K03924",""
"ko:K06182",""
"ko:K07931",""
"ko:K01999","ko02024"
"ko:K08908","ko01100"
"ko:K00654","ko04138"
"ko:K19675",""
"ko:K10462",""
"ko:K02639","ko01100"
"ko:K06811","ko05226"
"ko:K09005",""
"ko:K03030","ko05169"
"ko:K11426","ko01100"
"ko:K14808",""
"ko:K08516","ko04140"
"ko:K05521",""
"ko:K05986",""
"ko:K00028","ko01200"
"ko:K14310","ko05014"
"ko:K04705","ko04630"
"ko:K14560","ko03008"
"ko:K06999",""
"ko:K02321","ko03030"
"ko:K19882","ko04310"
"ko:K02201","ko01240"
"ko:K12888","ko03040"
"ko:K08585",""
"ko:K13706",""
"ko:K01792","ko01120"
"ko:K00133","ko01230"
"ko:K04567","ko00970"
"ko:K10277",""
"ko:K01694","ko01230"
"ko:K22182","ko05225"
"ko:K03063","ko05169"
"ko:K07560",""
"ko:K11997",""
"ko:K03932",""
"ko:K02995","ko05171"
"ko:K19756",""
"ko:K01101","ko01120"
"ko:K02857",""
"ko:K08646",""
"ko:K22063",""
"ko:K03046","ko03020"
"ko:K15177",""
"ko:K02706","ko01100"
"ko:K00213","ko01110"
"ko:K00514","ko01110"
"ko:K17655",""
"ko:K00789","ko01240"
"ko:K05768","ko05203"
"ko:K02899","ko03010"
"ko:K12450","ko01250"
"ko:K12231",""
"ko:K00921","ko04810"
"ko:K00820","ko05415"
"ko:K20131","ko04137"
"ko:K11824","ko05016"
"ko:K21430",""
"ko:K02930","ko05171"
"ko:K01845","ko01240"
"ko:K10645","ko05417"
"ko:K02002","ko02010"
"ko:K19757",""
"ko:K04648","ko05132"
"ko:K02980","ko05171"
"ko:K00949","ko01240"
"ko:K00800","ko01230"
"ko:K01066",""
"ko:K10365","ko04820"
"ko:K14298","ko05164"
"ko:K08884",""
"ko:K10134","ko04115"
"ko:K14800",""
"ko:K03064","ko05169"
"ko:K15281",""
"ko:K03372","ko01100"
"ko:K02184","ko04820"
"ko:K01595","ko01200"
"ko:K01354","ko05143"
"ko:K16911",""
"ko:K04650","ko05202"
"ko:K12385","ko04979"
"ko:K01728","ko02024"
"ko:K08232","ko01100"
"ko:K04986",""
"ko:K12878","ko03040"
"ko:K00831","ko01240"
"ko:K12189","ko04144"
"ko:K15436","ko03250"
"ko:K14006","ko04141"
"ko:K08776",""
"ko:K16747",""
"ko:K03267","ko03015"
"ko:K00515","ko01240"
"ko:K10692",""
"ko:K16732",""
"ko:K20877",""
"ko:K20047",""
"ko:K12879","ko03040"
"ko:K00667","ko01212"
"ko:K00655","ko01110"
"ko:K01763","ko01100"
"ko:K18584","ko05135"
"ko:K00235","ko05415"
"ko:K11498","ko04814"
"ko:K08871",""
"ko:K00058","ko01230"
"ko:K02966","ko05171"
"ko:K07179","ko03008"
"ko:K00529","ko01220"
"ko:K02871","ko03010"
"ko:K20221","ko03013"
"ko:K00958","ko01120"
"ko:K02152","ko05323"
"ko:K02868","ko05171"
"ko:K10901","ko03460"
"ko:K15920","ko01100"
"ko:K01469","ko01100"
"ko:K02112","ko01100"
"ko:K06670","ko04111"
"ko:K12604","ko03018"
"ko:K20815",""
"ko:K02874","ko03010"
"ko:K01682","ko01230"
"ko:K01082","ko01120"
"ko:K00855","ko01200"
"ko:K04615","ko05032"
"ko:K02634","ko01100"
"ko:K02704","ko01100"
"ko:K10409","ko05022"
"ko:K18561",""
"ko:K04043","ko05152"
"ko:K14455","ko04975"
"ko:K16612",""
"ko:K17491","ko04922"
"ko:K00814","ko01230"
"ko:K15277",""
"ko:K04734","ko05417"
"ko:K07200","ko05410"
"ko:K11446",""
"ko:K02520",""
"ko:K00764","ko01110"
"ko:K02291","ko01110"
"ko:K10728","ko03440"
"ko:K01378",""
"ko:K14303","ko05014"
"ko:K14815",""
"ko:K01409",""
"ko:K19672",""
"ko:K03772",""
"ko:K14406","ko03015"
"ko:K07583",""
"ko:K08495","ko04130"
"ko:K02975","ko05171"
"ko:K10753",""
"ko:K14314","ko05014"
"ko:K02938","ko05171"
"ko:K04961","ko05022"
"ko:K01596","ko04964"
"ko:K02737","ko05022"
"ko:K01239","ko01232"
"ko:K14787",""
"ko:K16474",""
"ko:K11751","ko01232"
"ko:K07300",""
"ko:K06532","ko05202"
"ko:K09540","ko04141"
"ko:K06177",""
"ko:K06653","ko04111"
"ko:K16675","ko04391"
"ko:K00615","ko01230"
"ko:K08081","ko01110"
"ko:K19525",""
"ko:K03388","ko01200"
"ko:K20032",""
"ko:K14457","ko04975"
"ko:K10747","ko03430"
"ko:K15110",""
"ko:K01601","ko01200"
"ko:K05643","ko02010"
"ko:K02999","ko03020"
"ko:K04711","ko01100"
"ko:K03113",""
"ko:K02953","ko05171"
"ko:K12567","ko05414"
"ko:K02906","ko03010"
"ko:K07515","ko01212"
"ko:K05665","ko05206"
"ko:K06669","ko04114"
"ko:K07191","ko05415"
"ko:K22267",""
"ko:K10413","ko05132"
"ko:K12396","ko04142"
"ko:K05350","ko01110"
"ko:K10401","ko04814"
"ko:K02967","ko03010"
"ko:K01610","ko01200"
"ko:K03100","ko03060"
"ko:K00106","ko04146"
"ko:K21626",""
"ko:K11806",""
"ko:K17268",""
"ko:K13749","ko04744"
"ko:K17592",""
"ko:K14376","ko03015"
"ko:K19619",""
"ko:K07297","ko04936"
"ko:K09488","ko05022"
"ko:K12829","ko03040"
"ko:K14564","ko05017"
"ko:K14050",""
"ko:K03037","ko05169"
"ko:K00413","ko05415"
"ko:K11000",""
"ko:K02932","ko05171"
"ko:K16458",""
"ko:K00222","ko01110"
"ko:K00780","ko01100"
"ko:K02719","ko01100"
"ko:K09584","ko04141"
"ko:K12815","ko03040"
"ko:K04936","ko04972"
"ko:K09391",""
"ko:K20299",""
"ko:K01661","ko01240"
"ko:K01279","ko04142"
"ko:K11087","ko05322"
"ko:K17342",""
"ko:K03950","ko05415"
"ko:K12856","ko03040"
"ko:K05304","ko01250"
"ko:K13278",""
"ko:K19673",""
"ko:K01858","ko01110"
"ko:K10359","ko04814"
"ko:K00759","ko01232"
"ko:K11836",""
"ko:K05215","ko04611"
"ko:K15747","ko01110"
"ko:K01427","ko01120"
"ko:K02713","ko01100"
"ko:K17430",""
"ko:K02880","ko05171"
"ko:K01280",""
"ko:K02146","ko05323"
"ko:K04904",""
"ko:K15710",""
